series,Units,date,price
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-06-01,20.17
Mozambique,metical/kg,2016-06-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-06-01,242.22058823529412
Niger (12.5 kg cylinder),XOF/cylinder,2016-06-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-06-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-06-01,1800.0
Niger (per kg),XOF/kg,2016-06-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-06-01,1850.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-06-01,1875.0
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-06-01,2150.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-06-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-06-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-06-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-06-01,13.9146
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-06-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-06-01,13.9146
Thailand (LPG industry) - Retail Price,Baht/kg,2016-06-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-06-01,13.9146
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-06-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-06-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-06-01,3120.0
Uruguay,UYU/kg,2016-06-01,35.0
Angola (LPG) ,kwanzas/kg,2016-07-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-07-01,82.44
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-07-01,52.878
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-07-01,57.425
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-07-01,49.158
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-07-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-07-01,6748.52941176471
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-07-01,6611.27450980392
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-07-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-07-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-07-01,3.69
El Salvador (10 lbs)- hh,US$/cylinder,2016-07-01,3.69
El Salvador (20 lbs)- commercial,US$/cylinder,2016-07-01,7.35
El Salvador (20 lbs)- hh,US$/cylinder,2016-07-01,7.35
El Salvador (25 lbs) - commercial,US$/cylinder,2016-07-01,9.15
El Salvador (25 lbs) - hh,US$/cylinder,2016-07-01,9.15
El Salvador (35 lbs) - commercial,US$/cylinder,2016-07-01,12.82
El Salvador (35 lbs) - hh,US$/cylinder,2016-07-01,12.82
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-07-01,30.7
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-07-01,11.51
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-07-01,2.56
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-07-01,42.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2016-07-01,37.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-07-01,105.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-07-01,1.5773
Jamaica (Butane),JMD/liter,2016-07-01,42.7475
Jamaica (Propane),JMD/liter,2016-07-01,36.082499999999996
Jordan (LPG - 12.5kg),JD/CY,2016-07-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-07-01,12900.0
Malaysia,RM/kg,2016-07-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-07-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-07-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-07-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-07-01,19.9
Mozambique,metical/kg,2016-07-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-07-01,240.13235294117646
Niger (12.5 kg cylinder),XOF/cylinder,2016-07-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-07-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-07-01,1800.0
Niger (per kg),XOF/kg,2016-07-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-07-01,2050.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-07-01,2022.22222222222
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-07-01,2000.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-07-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-07-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-07-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-07-01,13.40348064516129
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-07-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-07-01,13.40348064516129
Thailand (LPG industry) - Retail Price,Baht/kg,2016-07-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-07-01,13.40348064516129
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-07-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-07-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-07-01,3120.0
Uruguay,UYU/kg,2016-07-01,35.0
Angola (LPG) ,kwanzas/kg,2016-08-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-08-01,87.76
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-08-01,52.774
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-08-01,57.316
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-08-01,49.061
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-08-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-08-01,6633.33333333333
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-08-01,6496.07843137255
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-08-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-08-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-08-01,3.63
El Salvador (10 lbs)- hh,US$/cylinder,2016-08-01,3.63
El Salvador (20 lbs)- commercial,US$/cylinder,2016-08-01,7.21
El Salvador (20 lbs)- hh,US$/cylinder,2016-08-01,7.21
El Salvador (25 lbs) - commercial,US$/cylinder,2016-08-01,8.98
El Salvador (25 lbs) - hh,US$/cylinder,2016-08-01,8.98
El Salvador (35 lbs) - commercial,US$/cylinder,2016-08-01,12.58
El Salvador (35 lbs) - hh,US$/cylinder,2016-08-01,12.58
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-08-01,30.7
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-08-01,11.51
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-08-01,2.56
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-08-01,42.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2016-08-01,37.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-08-01,94.52
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-08-01,1.4341300000000001
Jamaica (Butane),JMD/liter,2016-08-01,41.875
Jamaica (Propane),JMD/liter,2016-08-01,34.614999999999995
Jordan (LPG - 12.5kg),JD/CY,2016-08-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-08-01,12400.0
Malaysia,RM/kg,2016-08-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-08-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-08-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-08-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-08-01,20.1
Mozambique,metical/kg,2016-08-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-08-01,233.52941176470588
Niger (12.5 kg cylinder),XOF/cylinder,2016-08-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-08-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-08-01,1800.0
Niger (per kg),XOF/kg,2016-08-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-08-01,1800.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-08-01,1933.33333333333
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-08-01,1900.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-08-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-08-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-08-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-08-01,12.93872258064516
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-08-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-08-01,12.93872258064516
Thailand (LPG industry) - Retail Price,Baht/kg,2016-08-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-08-01,12.93872258064516
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-08-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-08-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-08-01,3120.0
Uruguay,UYU/kg,2016-08-01,35.0
Angola (LPG) ,kwanzas/kg,2016-09-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-09-01,86.32
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-09-01,54.688
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-09-01,57.418
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-09-01,50.653
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-09-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-09-01,6633.33333333333
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-09-01,6496.07843137255
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-09-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-09-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-09-01,3.55
El Salvador (10 lbs)- hh,US$/cylinder,2016-09-01,3.55
El Salvador (20 lbs)- commercial,US$/cylinder,2016-09-01,7.06
El Salvador (20 lbs)- hh,US$/cylinder,2016-09-01,7.06
El Salvador (25 lbs) - commercial,US$/cylinder,2016-09-01,8.79
El Salvador (25 lbs) - hh,US$/cylinder,2016-09-01,8.79
El Salvador (35 lbs) - commercial,US$/cylinder,2016-09-01,12.31
El Salvador (35 lbs) - hh,US$/cylinder,2016-09-01,12.31
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-09-01,30.7
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-09-01,11.51
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-09-01,2.56
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-09-01,42.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2016-09-01,37.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-09-01,95.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-09-01,1.42624
Jamaica (Butane),JMD/liter,2016-09-01,43.258
Jamaica (Propane),JMD/liter,2016-09-01,36.15599999999999
Jordan (LPG - 12.5kg),JD/CY,2016-09-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-09-01,13125.0
Malaysia,RM/kg,2016-09-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-09-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-09-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-09-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-09-01,20.1
Mozambique,metical/kg,2016-09-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-09-01,235.5441176470588
Niger (12.5 kg cylinder),XOF/cylinder,2016-09-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-09-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-09-01,1800.0
Niger (per kg),XOF/kg,2016-09-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-09-01,1870.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-09-01,1919.3
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-09-01,1994.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-09-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-09-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-09-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-09-01,13.107683333333334
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-09-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-09-01,13.107683333333334
Thailand (LPG industry) - Retail Price,Baht/kg,2016-09-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-09-01,13.107683333333334
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-09-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-09-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-09-01,3120.0
Uruguay,UYU/kg,2016-09-01,35.0
Angola (LPG) ,kwanzas/kg,2016-10-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-10-01,86.61
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-10-01,55.343
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-10-01,58.014
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-10-01,51.7
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-10-01,5000.0
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-10-01,6700.0
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-10-01,6562.74509803922
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-10-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-10-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-10-01,3.68
El Salvador (10 lbs)- hh,US$/cylinder,2016-10-01,3.68
El Salvador (20 lbs)- commercial,US$/cylinder,2016-10-01,7.33
El Salvador (20 lbs)- hh,US$/cylinder,2016-10-01,7.33
El Salvador (25 lbs) - commercial,US$/cylinder,2016-10-01,9.13
El Salvador (25 lbs) - hh,US$/cylinder,2016-10-01,9.13
El Salvador (35 lbs) - commercial,US$/cylinder,2016-10-01,12.78
El Salvador (35 lbs) - hh,US$/cylinder,2016-10-01,12.78
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-10-01,42.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2016-10-01,37.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-10-01,92.5
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-10-01,1.61032
Jamaica (Butane),JMD/liter,2016-10-01,44.317499999999995
Jamaica (Propane),JMD/liter,2016-10-01,36.845
Jordan (LPG - 12.5kg),JD/CY,2016-10-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-10-01,13575.0
Malawi ,MWK/kg,2016-10-01,1999.99
Malaysia,RM/kg,2016-10-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-10-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-10-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-10-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-10-01,20.01
Mozambique,metical/kg,2016-10-01,58.54
Nicaragua (LPG 25lb),córdobas/cylinder,2016-10-01,248.97549019607843
Niger (12.5 kg cylinder),XOF/cylinder,2016-10-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-10-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-10-01,1800.0
Niger (per kg),XOF/kg,2016-10-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-10-01,1921.89932255343
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-10-01,2103.46003629865
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-10-01,2162.08004761577
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-10-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-10-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-10-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-10-01,13.024425806451614
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-10-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-10-01,13.024425806451614
Thailand (LPG industry) - Retail Price,Baht/kg,2016-10-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-10-01,13.024425806451614
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-10-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-10-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-10-01,3120.0
Uruguay,UYU/kg,2016-10-01,35.0
Angola (LPG) ,kwanzas/kg,2016-11-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-11-01,85.28
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-11-01,55.607
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-11-01,60.277
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-11-01,52.283
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-11-01,5000.0
Cabo Verde (per kg), ECV/Kg,2016-11-01,117.5
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-11-01,6896.07843137255
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-11-01,6759.80392156863
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-11-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-11-01,8.0
Egypt (LGP 12.5kg),EGP/cylinder,2016-11-01,15.0
Egypt (LGP 25kg),EGP/cylinder,2016-11-01,30.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-11-01,3.89
El Salvador (10 lbs)- hh,US$/cylinder,2016-11-01,3.89
El Salvador (20 lbs)- commercial,US$/cylinder,2016-11-01,7.75
El Salvador (20 lbs)- hh,US$/cylinder,2016-11-01,7.75
El Salvador (25 lbs) - commercial,US$/cylinder,2016-11-01,9.65
El Salvador (25 lbs) - hh,US$/cylinder,2016-11-01,9.65
El Salvador (35 lbs) - commercial,US$/cylinder,2016-11-01,13.51
El Salvador (35 lbs) - hh,US$/cylinder,2016-11-01,13.51
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-11-01,42.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2016-11-01,37.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-11-01,92.5
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2016-11-01,458.0
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2016-11-01,430.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2016-11-01,531.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2016-11-01,529.5
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2016-11-01,196.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2016-11-01,195.5
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-11-01,1.71904
Jamaica (Butane),JMD/liter,2016-11-01,42.9625
Jamaica (Propane),JMD/liter,2016-11-01,35.167500000000004
Jordan (LPG - 12.5kg),JD/CY,2016-11-01,73.0
Lebanon (LPG 10kg),LBP/cylinder,2016-11-01,13580.0
Malaysia,RM/kg,2016-11-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-11-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-11-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-11-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-11-01,20.96
Mozambique,metical/kg,2016-11-01,58.54
Nicaragua (LPG 25lb),córdobas/cylinder,2016-11-01,250.64705882352942
Niger (12.5 kg cylinder),XOF/cylinder,2016-11-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-11-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-11-01,1800.0
Niger (per kg),XOF/kg,2016-11-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-11-01,1805.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-11-01,1813.888888888885
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-11-01,1975.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-11-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-11-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-11-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-11-01,13.497833333333334
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-11-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-11-01,13.497833333333334
Thailand (LPG industry) - Retail Price,Baht/kg,2016-11-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-11-01,13.497833333333334
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-11-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-11-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-11-01,3120.0
Uruguay,UYU/kg,2016-11-01,35.0
Angola (LPG) ,kwanzas/kg,2016-12-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-12-01,83.9
Benin (LPG 12.5 Kg) -Cotonou ,XOF/cylinder,2016-12-01,6250.0
Benin (LPG 6kg) -Cotonou ,XOF/cylinder,2016-12-01,3000.0
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-12-01,55.601
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-12-01,60.239
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-12-01,52.771
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-12-01,5000.0
Cabo Verde (per kg), ECV/Kg,2016-12-01,122.3
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-12-01,6846.07843137255
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-12-01,6709.80392156863
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-12-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-12-01,8.0
Egypt (LGP 12.5kg),EGP/cylinder,2016-12-01,15.0
Egypt (LGP 25kg),EGP/cylinder,2016-12-01,30.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-12-01,3.76
El Salvador (10 lbs)- hh,US$/cylinder,2016-12-01,3.76
El Salvador (20 lbs)- commercial,US$/cylinder,2016-12-01,7.49
El Salvador (20 lbs)- hh,US$/cylinder,2016-12-01,7.49
El Salvador (25 lbs) - commercial,US$/cylinder,2016-12-01,9.33
El Salvador (25 lbs) - hh,US$/cylinder,2016-12-01,9.33
El Salvador (35 lbs) - commercial,US$/cylinder,2016-12-01,13.07
El Salvador (35 lbs) - hh,US$/cylinder,2016-12-01,13.07
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-12-01,42.0
Grenada - LPG 20 lb cylinder - Petrocaribe,EC$/cylinder,2016-12-01,37.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-12-01,95.0
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2016-12-01,460.0
India (14.2 kg subsidized) - New Delhi ,INR/cylinder,2016-12-01,432.5
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2016-12-01,587.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2016-12-01,584.0
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2016-12-01,216.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2016-12-01,214.5
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-12-01,1.63344
Jamaica (Butane),JMD/liter,2016-12-01,42.524
Jamaica (Propane),JMD/liter,2016-12-01,34.086
Jordan (LPG - 12.5kg),JD/CY,2016-12-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-12-01,13700.0
Malaysia,RM/kg,2016-12-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-12-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-12-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-12-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-12-01,20.77
Mozambique,metical/kg,2016-12-01,58.54
Nicaragua (LPG 25lb),córdobas/cylinder,2016-12-01,265.117647058824
Niger (12.5 kg cylinder),XOF/cylinder,2016-12-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-12-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-12-01,1800.0
Niger (per kg),XOF/kg,2016-12-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-12-01,1866.6666666666652
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-12-01,1900.0
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-12-01,2200.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-12-01,1.67
Senegal (6kg cylinder),XOF/cylinder,2016-12-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-12-01,2500.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-12-01,13.610435483870967
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-12-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-12-01,13.610435483870967
Thailand (LPG industry) - Retail Price,Baht/kg,2016-12-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-12-01,13.610435483870967
