series,Units,date,price
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-05-01,42.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-05-01,90.0
India (14.2 kg subsidized) - Mumbai ,INR/cylinder,2016-05-01,442.0
India (14.2 kg unsubsidized) - Mumbai ,INR/cylinder,2016-05-01,535.0
India (14.2 kg unsubsidized) - New Delhi ,INR/cylinder,2016-05-01,527.5
India (5 kg unsubsidized) - Mumbai ,INR/cylinder,2016-05-01,245.0
India (5 kg unsubsidized) - New Delhi ,INR/cylinder,2016-05-01,194.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-05-01,1.40333
Jamaica (Butane),JMD/liter,2016-05-01,40.428000000000004
Jamaica (Propane),JMD/liter,2016-05-01,34.647999999999996
Jordan (LPG - 12.5kg),JD/CY,2016-05-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-05-01,12200.0
Malaysia,RM/kg,2016-05-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-05-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-05-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-05-01,26.6
Martinique (LPG 12.5 kg cylinder),Eur/cylinder,2016-05-01,19.49
Mozambique,metical/kg,2016-05-01,55.46
Nicaragua (LPG 25lb),córdobas/cylinder,2016-05-01,233.34313725490196
Niger (12.5 kg cylinder),XOF/cylinder,2016-05-01,3750.0
Niger (3 kg cylinder),XOF/cylinder,2016-05-01,900.0
Niger (6 kg cylinder),XOF/cylinder,2016-05-01,1800.0
Niger (per kg),XOF/kg,2016-05-01,300.0
Nigeria (5kg cylinder refilling) - Abuja,NGN/cylinder,2016-05-01,1800.0
Nigeria (5kg cylinder refilling) - Lagos,NGN/cylinder,2016-05-01,1825.0
Nigeria (5kg cylinder refilling)- Kano,NGN/cylinder,2016-05-01,1950.0
Peru (Petroperu Calla district where Lima is),soles/gallon,2016-05-01,1.85
Senegal (6kg cylinder),XOF/cylinder,2016-05-01,2885.0
Syria (LPG subsidized 10kg),lira/cylinder,2016-05-01,1800.0
Thailand (LPG cooking) - Ex-refinery Price,Baht/kg,2016-05-01,13.916619354838708
Thailand (LPG cooking) - Retail Price,Baht/kg,2016-05-01,20.29
Thailand (LPG industry) - Ex-refinery Price,Baht/kg,2016-05-01,13.916619354838708
Thailand (LPG industry) - Retail Price,Baht/kg,2016-05-01,20.29
Thailand (LPG low income hh) - Ex-refinery Price,Baht/kg,2016-05-01,13.916619354838708
Thailand (LPG low income hh) - Retail Price,Baht/kg,2016-05-01,18.13
Togo (12.5kg bottle),XOF/cylinder,2016-05-01,6500.0
Togo (6kg bottle),XOF/cylinder,2016-05-01,3120.0
Uruguay,UYU/kg,2016-05-01,35.0
Angola (LPG) ,kwanzas/kg,2016-06-01,100.0
Belize (100 lbs),BEL$/cylinder,2016-06-01,83.9
Brazil (LPG 13 kg bottle) - Country Average,R$/13kg,2016-06-01,53.122
Brazil (LPG 13 kg bottle) - Distrito Federal,R$/13kg,2016-06-01,57.435
Brazil (LPG 13 kg bottle) - Rio de Janeiro,R$/13kg,2016-06-01,49.191
Burkina Faso  (12.5kg cylinder),XOF/cylinder,2016-06-01,5000.0
